Method,Dataset,RMSE_ID,RMSE_OOD,NLL_ID,NLL_OOD,CRPS_ID,CRPS_OOD,Cov90_ID,Cov90_OOD,Width90_ID,Width90_OOD,CalibMAE_ID,CalibMAE_OOD,OODUncGap,MeanWeight,MeanDisagreement,MeanWeightID,MeanWeightOOD,MeanDisagreementID,MeanDisagreementOOD,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.8617247939109802,2.057387113571167,1.1797596216201782,15.811100959777832,0.3791068196296692,1.3417854309082031,0.941271960735321,0.5843871831893921,2.6793575286865234,3.420884609222412,0.18697315454483032,0.14293213188648224,0.22540831565856934,0.0,0.0,0.0,0.0,0.0,0.0,14.941856500052381,0.10035795898875222
MeanTeacher,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.9379757642745972,2.25152325630188,2.4734292030334473,148.99932861328125,0.3799220323562622,1.4973026514053345,0.9268554449081421,0.47559815645217896,2.288827419281006,2.0007576942443848,0.19057424366474152,0.16001811623573303,-0.08756697177886963,0.0,0.0,0.0,0.0,0.0,0.0,45.453058542043436,0.055907208065036684
PiModelConsistency,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.893761396408081,2.263579845428467,2.0863304138183594,222.46755981445312,0.37684887647628784,1.4814941883087158,0.9401611089706421,0.5256103277206421,2.610774278640747,1.995391845703125,0.19569411873817444,0.2002287060022354,-0.18706291913986206,0.0,0.0,0.0,0.0,0.0,0.0,36.8894326670561,0.06031920906389132
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.8655727505683899,2.072002649307251,3.6506035327911377,498.44427490234375,0.3592856228351593,1.5617936849594116,0.9302123785018921,0.12481689453125,2.18310809135437,0.5814716219902039,0.1796688586473465,0.21173223853111267,-0.48686300218105316,0.9020824432373047,0.0,0.9476726651191711,0.8564924001693726,0.0,0.0,102.51925133308396,0.06032845797017217
SAGE-Reg,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.8642868995666504,2.2519710063934326,1.413399338722229,7.201653957366943,0.373843252658844,1.4834975004196167,0.9405151605606079,0.507397472858429,2.5604684352874756,2.050863742828369,0.19135098159313202,0.211691752076149,-0.15490883588790894,0.32436034083366394,0.8575171232223511,0.49783197045326233,0.15088869631290436,0.40674811601638794,1.3082860708236694,55.870884042058606,0.05518479202874005
