Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9146261811256409,1.926531195640564,0.4625398516654968,0.751190185546875,1.7988078594207764,0.14880981445312502,0.08172607421875,0.0,0.0,1.8627332919859327,0.02695716597372666
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9049025177955627,3.703909158706665,0.46488091349601746,0.648895263671875,1.3767870664596558,0.251104736328125,0.0871630311012268,0.4,0.0,6.146206124976743,0.02647362498100847
PiModelConsistency,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.921201765537262,4.208520889282227,0.46773308515548706,0.6597900390625,1.4495158195495605,0.24020996093750002,0.08242477476596832,0.4,0.0,7.108868375013117,0.020145958987995982
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9257142543792725,3.8046998977661133,0.49007725715637207,0.537811279296875,1.110203504562378,0.362188720703125,0.12242239713668823,0.9742006063461304,0.0,57.52046833396889,0.018709291995037347
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9081394076347351,1.9597437381744385,0.45852068066596985,0.73834228515625,1.6018824577331543,0.16165771484375002,0.07087723910808563,0.26892930269241333,0.907093346118927,11.368392083968502,0.015350166999269277
