Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8837589025497437,2.274526834487915,0.4433368444442749,0.805877685546875,1.8965264558792114,0.09412231445312502,0.05516325309872627,0.0,0.0,0.8409107920015231,0.014094916987232864
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8833330869674683,3.2403392791748047,0.4477613568305969,0.713958740234375,1.6116738319396973,0.18604125976562502,0.07000444084405899,0.4,0.0,2.629951207956765,0.014589665981475264
PiModelConsistency,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9162173867225647,3.3762805461883545,0.457746297121048,0.72552490234375,1.715981364250183,0.17447509765625002,0.06313283741474152,0.4,0.0,3.163007083989214,0.012476291973143816
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8966827392578125,4.30448055267334,0.4787833094596863,0.51092529296875,0.9841917157173157,0.38907470703125,0.12566816806793213,0.9700983166694641,0.0,37.025259000016376,0.012386334012262523
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8859660029411316,1.9393904209136963,0.44525444507598877,0.793548583984375,1.7521235942840576,0.10645141601562502,0.06360537558794022,0.22386419773101807,0.9799469709396362,5.434017251012847,0.01166512502823025
