Method,Dataset,RMSE_ID,RMSE_OOD,NLL_ID,NLL_OOD,CRPS_ID,CRPS_OOD,Cov90_ID,Cov90_OOD,Width90_ID,Width90_OOD,CalibMAE_ID,CalibMAE_OOD,OODUncGap,MeanWeight,MeanDisagreement,MeanWeightID,MeanWeightOOD,MeanDisagreementID,MeanDisagreementOOD,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.9388115406036377,2.5472071170806885,1.1994587182998657,3.2778522968292236,0.41316065192222595,1.3426486253738403,0.9385986328125,0.6563720703125,2.8256285190582275,4.558725357055664,0.16655144095420837,0.1279425173997879,0.5268241167068481,0.0,0.0,0.0,0.0,0.0,0.0,2.851716707999003,0.04162716700375313
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.9390706419944763,2.542188882827759,5.3641180992126465,254.64334106445312,0.37448883056640625,1.5948387384414673,0.9066162109375,0.2200927734375,1.77431321144104,0.9363375902175903,0.15798723697662354,0.1893567591905594,-0.2547265589237213,0.854937732219696,0.0,0.9446390867233276,0.7652363181114197,0.0,0.0,31.514981083004386,0.046321958005137276
SAGE-Reg,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.9639813899993896,2.800368547439575,1.2140969038009644,3.3583362102508545,0.40026557445526123,1.4110499620437622,0.9290771484375,0.6221923828125,2.5924649238586426,4.320625305175781,0.17853747308254242,0.1308927834033966,0.5253236293792725,0.38985109329223633,0.7081891298294067,0.5441534519195557,0.2355487048625946,0.38823890686035156,1.028139352798462,11.466872208002314,0.0190587930046604
