Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9296602606773376,3.1815195083618164,0.4759827256202698,0.709991455078125,1.665919542312622,0.19000854492187502,0.09233687072992325,0.0,0.0,0.35242320800898597,0.012675125006353483
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9318006634712219,6.651572227478027,0.49024713039398193,0.573333740234375,1.2558233737945557,0.326666259765625,0.11106985807418823,0.4,0.0,1.2011104580014944,0.013107167003909126
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9582307934761047,4.130293846130371,0.5142441987991333,0.50677490234375,1.0633342266082764,0.39322509765625,0.13659441471099854,0.9797370433807373,0.0,30.408189875015523,0.011759208980947733
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9564365148544312,3.2432408332824707,0.4883534014225006,0.676483154296875,1.509109377861023,0.22351684570312502,0.09900255501270294,0.2720249593257904,0.9627612829208374,2.455521541007329,0.011414166016038507
