Benchmark,Seed,ObjectiveMetric,ExtraMetric,SupervisedObjective,SAGEObjective,ConfidenceObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement,SupervisedNLL_ID,SAGENLL_ID,SupervisedRMSE_OOD,SAGERMSE_OOD
year,260410,NLL,Cov90,2.0363712310791016,2.111478090286255,3.7012219429016113,0.07510685920715332,1.6648507118225098,0.770294189453125,0.717376708984375,0.5716552734375,0.30314135551452637,0.9093413949012756,,,,
higgs_public,260410,NLL_OOD,Cov90_OOD,147.2608184814453,6.162436008453369,483.1875915527344,-141.09838247299194,335.92677307128906,0.6269165277481079,0.511059582233429,0.2791503965854645,0.22759266197681427,1.9643375873565674,1.7742547988891602,1.8214175701141357,2.020641326904297,2.2333602905273438
year,260411,NLL,Cov90,2.037259578704834,2.2345240116119385,3.677074432373047,0.1972644329071045,1.639814853668213,0.754608154296875,0.707366943359375,0.551483154296875,0.2616882026195526,0.8904620409011841,,,,
higgs_public,260411,NLL_OOD,Cov90_OOD,51.606346130371094,6.1292219161987305,505.04400634765625,-45.47712421417236,453.43766021728516,0.580249011516571,0.526562511920929,0.2513671815395355,0.29076439142227173,1.3194749355316162,1.1779828071594238,1.458585500717163,2.0554184913635254,2.2047243118286133
year,260412,NLL,Cov90,1.926531195640564,1.9597437381744385,3.8046998977661133,0.03321254253387451,1.8781687021255493,0.751190185546875,0.73834228515625,0.537811279296875,0.26892930269241333,0.907093346118927,,,,
higgs_public,260412,NLL_OOD,Cov90_OOD,11.54265022277832,6.807260036468506,519.1251220703125,-4.7353901863098145,507.5824718475342,0.5765625238418579,0.5072265863418579,0.15638427436351776,0.34386152029037476,0.7431355714797974,1.1765568256378174,1.5873939990997314,2.0578219890594482,2.2669219970703125
