Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.8986951112747192,1.3018505573272705,0.45041394233703613,0.860382080078125,2.229085922241211,0.03961791992187502,0.0696076974272728,0.0,0.0,3.007280999998329,0.030526375005138107
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.9099745154380798,1.980907678604126,0.4653824269771576,0.703216552734375,1.5760407447814941,0.19678344726562502,0.09205900132656097,0.9593966007232666,0.0,27.26638070899935,0.022608666004089173
SAGE-Reg,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.8899839520454407,1.403210163116455,0.4440695643424988,0.839111328125,1.998530626296997,0.06088867187500002,0.055545203387737274,0.3961053788661957,0.5293428897857666,8.919979457998124,0.02028858400444733
