Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s,TabReDSplit,N_train_pool_used,N_test_used
SupervisedOnly,cooking-time,1.0,0.8017895817756653,1.4133682250976562,0.4560944139957428,0.7588253617286682,1.8892972469329834,0.1411746382713318,0.05446261540055275,0.0,0.0,1.3701920000021346,0.02571604200056754,default,69632,41613
ConfidenceWeightedPseudoLabel,cooking-time,1.0,0.8181849122047424,2.9378345012664795,0.5036202073097229,0.5250282287597656,1.1491385698318481,0.3749717712402344,0.11970158666372299,0.9992598295211792,0.0,16.63929258400458,0.021827916003530845,default,69632,41613
SAGE-Reg,cooking-time,1.0,0.8276181817054749,1.7596344947814941,0.4826149344444275,0.6769518852233887,1.6486419439315796,0.22304811477661135,0.08326231688261032,0.9899965524673462,0.0018221106147393584,5.03608729102416,0.0219264579936862,default,69632,41613
