Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,data/paper/openml_large_tabular_diamonds.parquet,1.0,0.362873375415802,0.226663276553154,0.14590848982334137,0.9018958806991577,0.9055760502815247,0.0018958806991576926,0.11925654858350754,0.0,0.0,0.6273501249961555,0.003919792012311518
MeanTeacher,data/paper/openml_large_tabular_diamonds.parquet,1.0,0.3896370530128479,0.10413847863674164,0.14489546418190002,0.9334938526153564,0.9423747062683105,0.03349385261535642,0.07347620278596878,0.4,0.0,1.836784083978273,0.003986708004958928
PiModelConsistency,data/paper/openml_large_tabular_diamonds.parquet,1.0,0.4031524062156677,0.08507366478443146,0.14163987338542938,0.919851541519165,0.8715605139732361,0.019851541519165017,0.0558304488658905,0.4,0.0,2.181466707959771,0.004980750032700598
ConfidenceWeightedPseudoLabel,data/paper/openml_large_tabular_diamonds.parquet,1.0,0.42359405755996704,0.11225078254938126,0.1394573599100113,0.895275354385376,0.8027101755142212,0.004724645614624046,0.01622714474797249,0.9999032020568848,0.0,10.153607333020773,0.004348875023424625
SAGE-Reg,data/paper/openml_large_tabular_diamonds.parquet,1.0,0.3838782012462616,0.21830807626247406,0.1455247849225998,0.9532551169395447,0.9580715894699097,0.053255116939544656,0.09336786717176437,0.39362621307373047,0.7417053580284119,3.695285583031364,0.003914124972652644
