Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8208908438682556,1.2064917087554932,0.3997041583061218,0.870086669921875,1.9620184898376465,0.029913330078125022,0.04187718406319618,0.0,0.0,5.574871457996778,0.01361766699119471
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8295828700065613,1.4965641498565674,0.40152209997177124,0.8262939453125,1.7972980737686157,0.07370605468750002,0.03489670157432556,0.8,0.0,15.798661999986507,0.01193279100698419
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8205332159996033,1.7558656930923462,0.40917545557022095,0.737823486328125,1.4911407232284546,0.16217651367187502,0.07837171107530594,0.972874641418457,0.0,37.502270291006425,0.011797165992902592
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8267573714256287,1.3256044387817383,0.4006919264793396,0.847198486328125,1.8337912559509277,0.05280151367187502,0.03282664343714714,0.970711350440979,0.00554896704852581,29.55045462399721,0.010660333005944267
