Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8569826483726501,1.7821369171142578,0.4228149652481079,0.798797607421875,1.830822229385376,0.10120239257812502,0.048308681696653366,0.0,0.0,1.5967176249832846,0.011813832999905571
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8603609800338745,2.50700044631958,0.42988261580467224,0.714508056640625,1.5169583559036255,0.18549194335937502,0.0667724683880806,0.8,0.0,4.218553999991855,0.01072566700167954
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8670099973678589,3.1221954822540283,0.4445550739765167,0.60491943359375,1.1897554397583008,0.29508056640625,0.10206524282693863,0.971680760383606,0.0,28.300346041971352,0.012053999991621822
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8727393746376038,1.8850387334823608,0.4330637753009796,0.741119384765625,1.5888992547988892,0.15888061523437502,0.0638251081109047,0.9644335508346558,0.006830839440226555,8.24907779096975,0.011833083000965416
