Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.91944420337677,2.9337880611419678,0.4723470211029053,0.719024658203125,1.67654550075531,0.18097534179687502,0.0788455381989479,0.0,0.0,0.8911425830156077,0.013064333004876971
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9277862906455994,7.005242824554443,0.4951792359352112,0.5560302734375,1.231778621673584,0.3439697265625,0.1114068254828453,0.8,0.0,1.6735635000222828,0.012273291009478271
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9269976019859314,6.157447814941406,0.5182458758354187,0.424072265625,0.8638553023338318,0.475927734375,0.1470002830028534,0.9778480529785156,0.0,29.123472500010394,0.011952125001698732
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9267736077308655,2.4886417388916016,0.4767373204231262,0.67230224609375,1.5169981718063354,0.22769775390625002,0.08788612484931946,0.973508358001709,0.004967858549207449,2.7746818750165403,0.010883332986850291
