Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.9022967219352722,2.0363712310791016,0.45383960008621216,0.770294189453125,1.7809354066848755,0.12970581054687502,0.062309831380844116,0.0,0.0,2.313357000006363,0.02484662499045953
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.9210506677627563,3.7012219429016113,0.4849076271057129,0.5716552734375,1.1064029932022095,0.3283447265625,0.11114341020584106,0.9780897498130798,0.0,66.54426500000409,0.017653124989010394
SAGE-Reg,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.9177327752113342,2.111478090286255,0.4652363657951355,0.717376708984375,1.5190664529800415,0.18262329101562502,0.0817093700170517,0.30314135551452637,0.9093413949012756,11.672528458002489,0.01965108298463747
