Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.8208908438682556,1.2064917087554932,0.3997041583061218,0.870086669921875,1.9620184898376465,0.029913330078125022,0.04187718406319618,0.0,0.0,40.136325458996,0.07778912500361912
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.8205332159996033,1.7558656930923462,0.40917545557022095,0.737823486328125,1.4911407232284546,0.16217651367187502,0.07837171107530594,0.972874641418457,0.0,109.41104229200573,0.016230499997618608
SAGE-Reg,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.8267573714256287,1.3256044387817383,0.4006919264793396,0.847198486328125,1.8337912559509277,0.05280151367187502,0.03282664343714714,0.970711350440979,0.00554896704852581,76.97680429299362,0.015450667007826269
