Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,feature_mix_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.12,0.05,0.1,0.0,0.8,0.5,2.0,-1.0,2.0679447650909424,6.644991397857666,2.9051685333251953,0.8372237682342529,4.577046632766724,0.81414794921875,0.735015869140625,0.40576171875,0.24552114307880402,0.3322434425354004
year,NLL,Cov90,0.12,0.05,0.1,0.0,0.8,0.5,2.0,0.85,2.0679447650909424,6.644991397857666,3.190441846847534,1.1224970817565918,4.577046632766724,0.81414794921875,0.7337646484375,0.40576171875,0.031931471079587936,0.33787593245506287
year,NLL,Cov90,0.12,0.1,0.1,0.0,0.8,0.5,2.0,-1.0,2.0679447650909424,6.644991397857666,2.844360828399658,0.7764160633087158,4.577046632766724,0.81414794921875,0.7369384765625,0.40576171875,0.21451064944267273,0.34723514318466187
year,NLL,Cov90,0.12,0.1,0.1,0.0,0.8,0.5,2.0,0.85,2.0679447650909424,6.644991397857666,3.044830560684204,0.9768857955932617,4.577046632766724,0.81414794921875,0.738128662109375,0.40576171875,0.02320704236626625,0.3597446084022522
year,NLL,Cov90,0.18,0.05,0.1,0.0,0.8,0.5,2.0,-1.0,2.0679447650909424,6.644991397857666,2.7806174755096436,0.7126727104187012,4.577046632766724,0.81414794921875,0.73858642578125,0.40576171875,0.3283218741416931,0.32448679208755493
year,NLL,Cov90,0.18,0.05,0.1,0.0,0.8,0.5,2.0,0.85,2.0679447650909424,6.644991397857666,3.247101306915283,1.1791565418243408,4.577046632766724,0.81414794921875,0.7271728515625,0.40576171875,0.054588526487350464,0.3445015549659729
year,NLL,Cov90,0.18,0.1,0.1,0.0,0.8,0.5,2.0,-1.0,2.0679447650909424,6.644991397857666,2.7026352882385254,0.634690523147583,4.577046632766724,0.81414794921875,0.741058349609375,0.40576171875,0.2965549826622009,0.33959901332855225
year,NLL,Cov90,0.18,0.1,0.1,0.0,0.8,0.5,2.0,0.85,2.0679447650909424,6.644991397857666,3.2580904960632324,1.19014573097229,4.577046632766724,0.81414794921875,0.73291015625,0.40576171875,0.03405410796403885,0.3688558340072632
year,NLL,Cov90,0.28,0.05,0.1,0.0,0.8,0.5,2.0,-1.0,2.0679447650909424,6.644991397857666,2.6004085540771484,0.532463788986206,4.577046632766724,0.81414794921875,0.74383544921875,0.40576171875,0.4273080825805664,0.3152581453323364
year,NLL,Cov90,0.28,0.05,0.1,0.0,0.8,0.5,2.0,0.85,2.0679447650909424,6.644991397857666,3.3263673782348633,1.258422613143921,4.577046632766724,0.81414794921875,0.7220458984375,0.40576171875,0.09259350597858429,0.36006903648376465
year,NLL,Cov90,0.28,0.1,0.1,0.0,0.8,0.5,2.0,-1.0,2.0679447650909424,6.644991397857666,2.601036548614502,0.5330917835235596,4.577046632766724,0.81414794921875,0.743988037109375,0.40576171875,0.39435094594955444,0.3327481150627136
year,NLL,Cov90,0.28,0.1,0.1,0.0,0.8,0.5,2.0,0.85,2.0679447650909424,6.644991397857666,3.19893479347229,1.1309900283813477,4.577046632766724,0.81414794921875,0.73077392578125,0.40576171875,0.065688356757164,0.37592875957489014
