Benchmark,Seed,ObjectiveMetric,ExtraMetric,SupervisedObjective,SAGEObjective,ConfidenceObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement,MeanTeacherObjective,MeanTeacherMinusSupervised,MeanTeacherExtra
year,260410,NLL,Cov90,3.624089479446411,3.0614845752716064,4.91867733001709,-0.5626049041748047,1.2945878505706787,0.707122802734375,0.64276123046875,0.48443603515625,0.25553491711616516,0.9793565273284912,5.055569648742676,1.4314801692962646,0.577392578125
year,260411,NLL,Cov90,2.545447587966919,2.5753660202026367,3.9650514125823975,0.029918432235717773,1.4196038246154785,0.715240478515625,0.676055908203125,0.487335205078125,0.26580941677093506,0.9744898080825806,4.543719291687012,1.9982717037200928,0.579345703125
year,260412,NLL,Cov90,3.1815195083618164,3.2432408332824707,4.130293846130371,0.0617213249206543,0.9487743377685547,0.709991455078125,0.676483154296875,0.50677490234375,0.2720249593257904,0.9627612829208374,6.651572227478027,3.470052719116211,0.573333740234375
year,260413,NLL,Cov90,2.7058193683624268,2.8998451232910156,5.087227821350098,0.19402575492858887,2.381408452987671,0.69647216796875,0.65625,0.4683837890625,0.2784263491630554,0.9793095588684082,5.237375259399414,2.5315558910369873,0.564910888671875
year,260414,NLL,Cov90,2.5606753826141357,2.6713204383850098,4.631293296813965,0.11064505577087402,2.070617914199829,0.717010498046875,0.667816162109375,0.499267578125,0.259199321269989,1.0272170305252075,5.201986312866211,2.641310930252075,0.5765380859375
year,260415,NLL,Cov90,3.070652484893799,3.3833186626434326,5.5006537437438965,0.3126661777496338,2.4300012588500977,0.748046875,0.664703369140625,0.461883544921875,0.31925034523010254,0.8089388608932495,6.276330947875977,3.2056784629821777,0.59375
