Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9312196373939514,3.624089479446411,0.4794236123561859,0.707122802734375,1.6112226247787476,0.19287719726562502,0.07382716983556747,0.0,0.0,0.7012819590163417,0.012729457987006754
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.931215763092041,5.055569648742676,0.49470627307891846,0.577392578125,1.1980681419372559,0.322607421875,0.10692396014928818,0.4,0.0,1.4642827089992352,0.011945792008191347
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9535900354385376,4.91867733001709,0.5208927392959595,0.48443603515625,0.9680011868476868,0.41556396484375,0.13276143372058868,0.9833064079284668,0.0,27.538738001021557,0.011430957994889468
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9324654936790466,3.0614845752716064,0.4888523519039154,0.64276123046875,1.3764703273773193,0.25723876953125,0.09755923599004745,0.25553491711616516,0.9793565273284912,2.4610487930185627,0.011398417002055794
