Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9467077851295471,2.5606753826141357,0.4797658324241638,0.717010498046875,1.7278796434402466,0.18298950195312502,0.07738711684942245,0.0,0.0,0.3152485839964356,0.010700916027417406
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9253560900688171,5.201986312866211,0.48807817697525024,0.5765380859375,1.275148630142212,0.3234619140625,0.1068243756890297,0.4,0.0,1.0819049999990966,0.012163540988694876
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9671295285224915,4.631293296813965,0.5135458707809448,0.499267578125,1.1028687953948975,0.400732421875,0.13456517457962036,0.9743278622627258,0.0,27.683693042985396,0.012175499985460192
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.959855854511261,2.6713204383850098,0.49028778076171875,0.667816162109375,1.533129096031189,0.23218383789062502,0.09584703296422958,0.259199321269989,1.0272170305252075,2.4248800839995965,0.011316292016999796
