Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.8865677714347839,1.4003678560256958,0.4453577399253845,0.8433837890625,2.1412487030029297,0.05661621093750002,0.059954192489385605,0.0,0.0,0.9657174160020077,0.026578584001981653
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.9067923426628113,1.8758306503295898,0.4634840488433838,0.713287353515625,1.5549070835113525,0.18671264648437502,0.08695197105407715,0.960899293422699,0.0,29.528729874007695,0.05089574999874458
SAGE-Reg,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.8929423093795776,1.6446908712387085,0.4439869523048401,0.814361572265625,1.8791542053222656,0.08563842773437502,0.05467497184872627,0.3416089415550232,0.6214306354522705,10.267546291004692,0.03947270799835678
