Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.9296602606773376,3.1815195083618164,0.4759827256202698,0.709991455078125,1.665919542312622,0.19000854492187502,0.09233687072992325,0.0,0.0,0.4996324590028962,0.016150334005942568
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.9582307934761047,4.130293846130371,0.5142441987991333,0.50677490234375,1.0633342266082764,0.39322509765625,0.13659441471099854,0.9797370433807373,0.0,45.103814333997434,0.018679541011806577
SAGE-Reg,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.9564365148544312,3.2432408332824707,0.4883534014225006,0.676483154296875,1.509109377861023,0.22351684570312502,0.09900255501270294,0.2720249593257904,0.9627612829208374,3.4596239180100383,0.016846624988829717
