Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8963000178337097,2.138920307159424,0.45219674706459045,0.75177001953125,1.7543666362762451,0.14822998046875002,0.068909652531147,0.0,0.0,0.9820954170427285,0.014170082984492183
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.882157027721405,3.174668312072754,0.4559563100337982,0.66131591796875,1.4617505073547363,0.23868408203125002,0.08752473443746567,0.4,0.0,3.170855750038754,0.013302625040523708
PiModelConsistency,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8941568732261658,3.68229603767395,0.45675474405288696,0.650177001953125,1.484062671661377,0.24982299804687502,0.08309295028448105,0.4,0.0,3.3862680840538815,0.012714707991108298
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9032416939735413,3.602339267730713,0.47892290353775024,0.54254150390625,1.0877724885940552,0.35745849609375,0.12254124879837036,0.9765301942825317,0.0,43.56654533406254,0.015821749984752387
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9087446331977844,2.078734874725342,0.4567711651325226,0.72064208984375,1.5493311882019043,0.17935791015625002,0.07368742674589157,0.2650997042655945,0.8742808699607849,10.298928625066765,0.014821959019172937
