Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8950820565223694,2.2336573600769043,0.45124930143356323,0.745635986328125,1.696414589881897,0.15436401367187502,0.07040823251008987,0.0,0.0,0.8987152079935186,0.01395954203326255
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8924490213394165,3.5699808597564697,0.46238183975219727,0.636077880859375,1.3859267234802246,0.263922119140625,0.08995137363672256,0.4,0.0,2.6463928329758346,0.012093583005480468
PiModelConsistency,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8946687579154968,3.438220977783203,0.4600730538368225,0.653961181640625,1.4811824560165405,0.24603881835937502,0.08516332507133484,0.4,0.0,3.3348757079802454,0.01100100000621751
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9114262461662292,3.619178295135498,0.47869300842285156,0.5531005859375,1.1107193231582642,0.3468994140625,0.11846956610679626,0.9790694117546082,0.0,35.36590404197341,0.012310249963775277
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9040037989616394,2.463284969329834,0.4596105217933655,0.707275390625,1.5363138914108276,0.19272460937500002,0.08484625816345215,0.2684412896633148,0.8845397233963013,5.478086665971205,0.012117083999328315
