Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8208908438682556,1.2064917087554932,0.3997041583061218,0.870086669921875,1.9620184898376465,0.029913330078125022,0.04187718406319618,0.0,0.0,6.511764750001021,0.014892500010319054
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8295828700065613,1.4965641498565674,0.40152209997177124,0.8262939453125,1.7972980737686157,0.07370605468750002,0.03489670157432556,0.8,0.0,18.85757808299968,0.01219483296154067
PiModelConsistency,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8183762431144714,1.3332620859146118,0.3974827229976654,0.845062255859375,1.8530638217926025,0.05493774414062502,0.033387843519449234,0.8,0.0,22.15107825002633,0.013726792007219046
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8205332159996033,1.7558656930923462,0.40917545557022095,0.737823486328125,1.4911407232284546,0.16217651367187502,0.07837171107530594,0.972874641418457,0.0,44.995110624993686,0.012047208962030709
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8267573714256287,1.3256044387817383,0.4006919264793396,0.847198486328125,1.8337912559509277,0.05280151367187502,0.03282664343714714,0.970711350440979,0.00554896704852581,41.09997275000205,0.012102292035706341
