n_labeled,n_unlabeled,n_test,NLL_SupervisedOnly,NLL_SAGE-Reg,NLL_ConfidenceWeighted,NLL_SAGEMinusSupervised,CRPS_SupervisedOnly,CRPS_SAGE-Reg,Cov90_SupervisedOnly,Cov90_SAGE-Reg,CalibMAE_SupervisedOnly,CalibMAE_SAGE-Reg,RMSE_SupervisedOnly,RMSE_SAGE-Reg
1024,131072,32768,3.3430068492889404,2.361638307571411,7.064010143280029,-0.9813685417175293,0.4954495131969452,0.5079005360603333,0.73553466796875,0.69580078125,0.06643066555261612,0.0849619060754776,0.9646700620651245,0.9885613322257996
2048,131072,32768,2.9337880611419678,2.4886417388916016,6.157447814941406,-0.4451463222503662,0.4723470211029053,0.4767373204231262,0.719024658203125,0.67230224609375,0.0788455381989479,0.08788612484931946,0.91944420337677,0.9267736077308655
4096,131072,32768,2.1346349716186523,2.0032472610473633,3.969097137451172,-0.13138771057128906,0.4479001462459564,0.4581788182258606,0.75518798828125,0.7059326171875,0.0640101432800293,0.08921123296022415,0.8915620446205139,0.9056075811386108
8192,131072,32768,1.7821369171142578,1.8850387334823608,3.1221954822540283,0.10290181636810303,0.4228149652481079,0.4330637753009796,0.798797607421875,0.741119384765625,0.048308681696653366,0.0638251081109047,0.8569826483726501,0.8727393746376038
16384,131072,32768,1.3609564304351807,1.4978646039962769,2.3298614025115967,0.1369081735610962,0.40666496753692627,0.41292905807495117,0.839263916015625,0.802337646484375,0.034770771861076355,0.04809923842549324,0.8315689563751221,0.8407647609710693
32768,131072,32768,1.2064917087554932,1.3256044387817383,1.7558656930923462,0.11911273002624512,0.3997041583061218,0.4006919264793396,0.870086669921875,0.847198486328125,0.04187718406319618,0.03282664343714714,0.8208908438682556,0.8267573714256287
