Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8315689563751221,1.3609564304351807,0.40666496753692627,0.839263916015625,1.8987005949020386,0.06073608398437502,0.034770771861076355,0.0,0.0,3.1608747920254245,0.013916500029154122
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8291208744049072,1.6929750442504883,0.4101322591304779,0.7877197265625,1.7308530807495117,0.11228027343750002,0.0494709238409996,0.8,0.0,9.047014917014167,0.011089749983511865
PiModelConsistency,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8277934789657593,1.675511360168457,0.40870335698127747,0.79229736328125,1.6924917697906494,0.10770263671875002,0.047500129789114,0.8,0.0,10.338706208043732,0.011314417002722621
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8354401588439941,2.3298614025115967,0.4216275215148926,0.680877685546875,1.3404691219329834,0.21912231445312502,0.08397827297449112,0.9733870625495911,0.0,35.455799584044144,0.01148024998838082
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8407647609710693,1.4978646039962769,0.41292905807495117,0.802337646484375,1.7097541093826294,0.09766235351562502,0.04809923842549324,0.9753267765045166,0.0046242605894804,18.098107125028037,0.011976042005699128
