Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.12,0.1,0.0,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.6765469312667847,0.37469637393951416,0.6790571212768555,0.860382080078125,0.79913330078125,0.703216552734375,0.23591578006744385,0.037691108882427216
year,NLL,Cov90,0.12,0.1,0.0,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.5206923484802246,0.2188417911529541,0.6790571212768555,0.860382080078125,0.818115234375,0.703216552734375,0.7967897057533264,0.03203403949737549
year,NLL,Cov90,0.12,0.1,0.0,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.591601848602295,0.2897512912750244,0.6790571212768555,0.860382080078125,0.808319091796875,0.703216552734375,0.4670885503292084,0.03458906710147858
year,NLL,Cov90,0.12,0.1,0.0,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.5859980583190918,0.2841475009918213,0.6790571212768555,0.860382080078125,0.809783935546875,0.703216552734375,0.65934157371521,0.033518943935632706
year,NLL,Cov90,0.12,0.1,0.0,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.5295406579971313,0.22769010066986084,0.6790571212768555,0.860382080078125,0.81854248046875,0.703216552734375,0.2965984642505646,0.032713551074266434
year,NLL,Cov90,0.12,0.1,0.1,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.8057384490966797,0.5038878917694092,0.6790571212768555,0.860382080078125,0.78607177734375,0.703216552734375,0.34687739610671997,0.32151496410369873
year,NLL,Cov90,0.12,0.1,0.1,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.7283233404159546,0.4264727830886841,0.6790571212768555,0.860382080078125,0.80535888671875,0.703216552734375,0.04786122962832451,0.32359635829925537
year,NLL,Cov90,0.12,0.1,0.1,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.850965976715088,0.5491154193878174,0.6790571212768555,0.860382080078125,0.785614013671875,0.703216552734375,0.20958329737186432,0.32124263048171997
year,NLL,Cov90,0.12,0.1,0.1,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,2.0596346855163574,0.7577841281890869,0.6790571212768555,0.860382080078125,0.78497314453125,0.703216552734375,0.017386235296726227,0.3250289261341095
year,NLL,Cov90,0.12,0.1,0.1,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.6409368515014648,0.33908629417419434,0.6790571212768555,0.860382080078125,0.809051513671875,0.703216552734375,0.37868252396583557,0.28043133020401
year,NLL,Cov90,0.12,0.1,0.1,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.625430703163147,0.32358014583587646,0.6790571212768555,0.860382080078125,0.825836181640625,0.703216552734375,0.06406641006469727,0.28913065791130066
