Benchmark,Seed,ObjectiveMetric,ExtraMetric,SupervisedObjective,SAGEObjective,ConfidenceObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement,MeanTeacherObjective,MeanTeacherMinusSupervised,MeanTeacherExtra
year,260410,NLL,Cov90,2.0679447650909424,2.6004085540771484,6.644991397857666,0.532463788986206,4.577046632766724,0.81414794921875,0.74383544921875,0.40576171875,0.4273080825805664,0.3152581453323364,3.547915458679199,1.4799706935882568,0.714813232421875
year,260411,NLL,Cov90,2.0675179958343506,2.3168792724609375,6.621852397918701,0.24936127662658691,4.554334402084351,0.81036376953125,0.7437744140625,0.399749755859375,0.4126168489456177,0.3093095123767853,3.0126914978027344,0.9451735019683838,0.7091064453125
