Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.872610867023468,2.037259578704834,0.4395831823348999,0.754608154296875,1.698380470275879,0.14539184570312502,0.06442678719758987,0.0,0.0,1.0888811249897117,0.016509292006958276
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.8923842906951904,3.677074432373047,0.4711924195289612,0.551483154296875,1.1005221605300903,0.348516845703125,0.11623375117778778,0.981051504611969,0.0,43.619688458988094,0.015192374994512647
SAGE-Reg,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.8789747357368469,2.2345240116119385,0.44526687264442444,0.707366943359375,1.467909574508667,0.19263305664062502,0.07839837670326233,0.2616882026195526,0.8904620409011841,6.076142457983224,0.015321874991059303
