Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.891219437122345,2.427048444747925,0.44646212458610535,0.75677490234375,1.6623356342315674,0.14322509765625002,0.05816650390625,0.0,0.0,0.7365590420085937,0.012112124997656792
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8885936737060547,3.998415231704712,0.45611658692359924,0.65283203125,1.3377790451049805,0.24716796875000002,0.08733328431844711,0.4,0.0,2.4625324590015225,0.012610083998879418
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9116880297660828,3.9543352127075195,0.48073917627334595,0.545684814453125,1.0689722299575806,0.354315185546875,0.11972399801015854,0.9825230240821838,0.0,45.4401348750107,0.012766750005539507
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9057572484016418,2.3336334228515625,0.45785075426101685,0.720062255859375,1.523795247077942,0.17993774414062502,0.07646837830543518,0.31014004349708557,0.7339799404144287,5.423784084006911,0.012282167008379474
