Benchmark,Seed,ObjectiveMetric,ExtraMetric,SupervisedObjective,SAGEObjective,ConfidenceObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement,MeanTeacherObjective,MeanTeacherMinusSupervised,MeanTeacherExtra,SupervisedNLL_ID,SAGENLL_ID,SupervisedRMSE_OOD,SAGERMSE_OOD
year,260410,NLL,Cov90,1.7288198471069336,1.5815725326538086,4.469392776489258,-0.147247314453125,2.740572929382324,0.820892333984375,0.8140869140625,0.512939453125,0.22343823313713074,0.9687930345535278,2.7355358600616455,1.006716012954712,0.7333984375,,,,
higgs_public,260410,NLL_OOD,Cov90_OOD,142.75953674316406,6.542428493499756,488.73773193359375,-136.2171082496643,345.9781951904297,0.5130981206893921,0.510449230670929,0.24383544921875,0.24206599593162537,1.8451745510101318,238.11868286132812,95.35914611816406,0.5682128667831421,1.532369613647461,1.7563610076904297,2.0336461067199707,2.224740743637085
year,260411,NLL,Cov90,2.0000507831573486,1.781270980834961,4.314720153808594,-0.2187798023223877,2.314669370651245,0.80865478515625,0.8056640625,0.518524169921875,0.21613040566444397,1.0070031881332397,2.7170822620391846,0.7170314788818359,0.730743408203125,,,,
higgs_public,260411,NLL_OOD,Cov90_OOD,32.37089157104492,5.894144535064697,560.9568481445312,-26.476747035980225,528.5859565734863,0.5684570074081421,0.52093505859375,0.21882323920726776,0.2756789028644562,1.3467977046966553,195.05471801757812,162.6838264465332,0.5204101800918579,1.190725564956665,1.5271408557891846,2.0701730251312256,2.2183375358581543
year,260412,NLL,Cov90,1.7274343967437744,1.6640981435775757,4.270541191101074,-0.06333625316619873,2.5431067943573,0.820770263671875,0.803497314453125,0.527618408203125,0.2067493200302124,1.0447304248809814,2.6434991359710693,0.9160647392272949,0.73602294921875,,,,
higgs_public,260412,NLL_OOD,Cov90_OOD,28.0651912689209,6.784472465515137,497.40228271484375,-21.28071880340576,469.33709144592285,0.5806884765625,0.507189929485321,0.17243652045726776,0.3369264006614685,0.8692344427108765,150.57066345214844,122.50547218322754,0.5118652582168579,1.2035077810287476,1.4502044916152954,2.0300099849700928,2.2600133419036865
year,260413,NLL,Cov90,1.6785733699798584,1.6460232734680176,4.1134819984436035,-0.03255009651184082,2.434908628463745,0.822845458984375,0.808746337890625,0.52276611328125,0.19941680133342743,1.1084179878234863,2.9350290298461914,1.256455659866333,0.730682373046875,,,,
higgs_public,260413,NLL_OOD,Cov90_OOD,16.216941833496094,6.129957675933838,492.49822998046875,-10.086984157562256,476.28128814697266,0.6302245855331421,0.514880359172821,0.15461425483226776,0.26227837800979614,1.4058715105056763,136.895263671875,120.6783218383789,0.4624389708042145,1.161550760269165,1.4025882482528687,2.1590349674224854,2.205077648162842
year,260414,NLL,Cov90,1.8855366706848145,1.8060948848724365,4.367687702178955,-0.07944178581237793,2.4821510314941406,0.813690185546875,0.812774658203125,0.52020263671875,0.22566474974155426,0.9432663917541504,2.8205575942993164,0.935020923614502,0.728973388671875,,,,
higgs_public,260414,NLL_OOD,Cov90_OOD,57.121559143066406,6.782102108001709,485.0455017089844,-50.3394570350647,427.92394256591797,0.633105456829071,0.5080322027206421,0.20968016982078552,0.2193010300397873,1.6631577014923096,199.75411987304688,142.63256072998047,0.544189453125,1.2979310750961304,1.4521955251693726,2.01973557472229,2.25905704498291
