Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,data/paper/openml_large_tabular_diamonds.parquet,1.0,0.3991629481315613,-0.18107303977012634,0.15025639533996582,0.9436252117156982,0.8973512053489685,0.04362521171569822,0.040522459894418716,0.0,0.0,0.8625399579759687,0.005467624985612929
MeanTeacher,data/paper/openml_large_tabular_diamonds.parquet,1.0,0.3999466001987457,-0.19409655034542084,0.1556585729122162,0.9244658350944519,0.8806852102279663,0.024465835094451882,0.03157736361026764,0.4,0.0,2.2442189579596743,0.004551167017780244
PiModelConsistency,data/paper/openml_large_tabular_diamonds.parquet,1.0,0.49998098611831665,-0.34330785274505615,0.15547317266464233,0.9281773567199707,0.9160572290420532,0.02817735671997068,0.08525588363409042,0.4,0.0,2.667476624948904,0.0057633749675005674
ConfidenceWeightedPseudoLabel,data/paper/openml_large_tabular_diamonds.parquet,1.0,0.4062058627605438,-0.2636861503124237,0.15121419727802277,0.8772193789482117,0.7736313939094543,0.022780621051788352,0.07131370902061462,0.9998844265937805,0.0,10.8135043749935,0.004784000047948211
SAGE-Reg,data/paper/openml_large_tabular_diamonds.parquet,1.0,0.399306058883667,-0.15482468903064728,0.15487800538539886,0.9445280432701111,0.939068615436554,0.04452804327011106,0.10808348655700684,0.364970326423645,0.8508154153823853,3.8651838750229217,0.0037632909952662885
