Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.8618209362030029,1.70076322555542,0.43094590306282043,0.83392333984375,2.0244386196136475,0.06607666015625002,0.05124351382255554,0.0,0.0,1.0575492090065381,0.028222750006534625
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.879022479057312,2.220195770263672,0.453779935836792,0.6544189453125,1.3613965511322021,0.24558105468750002,0.09874138981103897,0.9665988683700562,0.0,20.798475084011443,0.023097375000361353
SAGE-Reg,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-10/openml_year.csv,1.0,0.8626415133476257,1.677417278289795,0.43043142557144165,0.80975341796875,1.8503532409667969,0.09024658203125002,0.0545802041888237,0.37167856097221375,0.5973492860794067,8.096876126008283,0.030202750000171363
