Method,Dataset,RMSE_ID,RMSE_OOD,NLL_ID,NLL_OOD,CRPS_ID,CRPS_OOD,Cov90_ID,Cov90_OOD,Width90_ID,Width90_OOD,CalibMAE_ID,CalibMAE_OOD,OODUncGap,MeanWeight,MeanDisagreement,MeanWeightID,MeanWeightOOD,MeanDisagreementID,MeanDisagreementOOD,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.8463394045829773,1.978133201599121,1.555330514907837,103.55064392089844,0.38006162643432617,1.2369861602783203,0.9449218511581421,0.599475085735321,2.7522566318511963,2.900547742843628,0.1851697415113449,0.13914601504802704,0.045077502727508545,0.0,0.0,0.0,0.0,0.0,0.0,6.515780208981596,0.053957541997078806
MeanTeacher,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.9036241769790649,2.223627805709839,3.444683074951172,379.07330322265625,0.3904068171977997,1.4699617624282837,0.940783679485321,0.4811157286167145,2.679652452468872,1.3978462219238281,0.18442189693450928,0.13842900097370148,-0.38964158296585083,0.0,0.0,0.0,0.0,0.0,0.0,20.20911500096554,0.053520250017754734
PiModelConsistency,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.8840762376785278,2.257617712020874,3.257568359375,225.27529907226562,0.3764374554157257,1.4061219692230225,0.94287109375,0.576281726360321,2.6294548511505127,2.8513450622558594,0.1791895627975464,0.24189643561840057,0.06744992733001709,0.0,0.0,0.0,0.0,0.0,0.0,22.61623891693307,0.05994008400011808
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.8510366678237915,1.9868828058242798,4.455876350402832,495.4647521972656,0.35520514845848083,1.4323339462280273,0.938854992389679,0.13930663466453552,2.1824698448181152,0.4380301833152771,0.17165397107601166,0.21352602541446686,-0.5302721112966537,0.9272311329841614,0.0,0.9462221264839172,0.9082401394844055,0.0,0.0,83.28905775101157,0.051984666963107884
SAGE-Reg,/Users/fabbros/src/torchregress/docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,0.8524413704872131,2.235379695892334,1.8400135040283203,6.664829254150391,0.3648514151573181,1.4637131690979004,0.940808117389679,0.50946044921875,2.4635605812072754,2.1326966285705566,0.18437883257865906,0.22307193279266357,-0.10057544708251953,0.2897185683250427,1.4395968914031982,0.45191898941993713,0.12751810252666473,0.6778637170791626,2.2013301849365234,41.255812916962896,0.054552792047616094
