Benchmark,Seed,ObjectiveMetric,ExtraMetric,SupervisedObjective,SAGEObjective,ConfidenceObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,260410,NLL,Cov90,2.1963629722595215,1.9759294986724854,3.8963632583618164,-0.22043347358703613,1.700000286102295,0.76806640625,0.721282958984375,0.554931640625,0.3099614977836609,0.8133673071861267
year,260411,NLL,Cov90,2.124835968017578,2.2629475593566895,3.9358997344970703,0.13811159133911133,1.8110637664794922,0.7530517578125,0.717071533203125,0.54791259765625,0.2624795436859131,0.9209891557693481
year,260412,NLL,Cov90,1.8202297687530518,2.039809465408325,3.7728981971740723,0.21957969665527344,1.9526684284210205,0.76898193359375,0.719940185546875,0.52655029296875,0.29668858647346497,0.812912106513977
