Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9307164549827576,3.070652484893799,0.4760195016860962,0.748046875,1.7609232664108276,0.15195312500000002,0.0816364511847496,0.0,0.0,0.36864516697824,0.012550166982691735
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9132289886474609,6.276330947875977,0.4819301962852478,0.59375,1.2348308563232422,0.30625,0.10145489126443863,0.4,0.0,1.3918829999747686,0.01343712498783134
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.936248779296875,5.5006537437438965,0.5133298635482788,0.461883544921875,0.9305795431137085,0.438116455078125,0.13804900646209717,0.9768484830856323,0.0,32.19428429196705,0.013190500001655892
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9312536716461182,3.3833186626434326,0.4826951026916504,0.664703369140625,1.4218827486038208,0.23529663085937502,0.09293501824140549,0.31925034523010254,0.8089388608932495,2.8702246669563465,0.011613957991357893
