Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/tmp/openml_year.csv,1.0,0.8986951112747192,1.3018505573272705,0.45041394233703613,0.860382080078125,2.229085922241211,0.03961791992187502,0.0696076974272728,0.0,0.0,1.1832827090001956,0.015081958001246676
ConfidenceWeightedPseudoLabel,/tmp/openml_year.csv,1.0,0.8943751454353333,2.4217441082000732,0.4703749418258667,0.627471923828125,1.322030782699585,0.272528076171875,0.1161341667175293,0.9593966007232666,0.0,10.275739666998561,0.013488291999237845
SAGE-Reg,/tmp/openml_year.csv,1.0,0.8951101899147034,1.580124020576477,0.4485321640968323,0.812164306640625,1.922410488128662,0.08783569335937502,0.06481130421161652,0.45677539706230164,0.2897610366344452,3.909427083999617,0.013084707999951206
