Method,Dataset,RMSE_ID,RMSE_OOD,NLL_ID,NLL_OOD,CRPS_ID,CRPS_OOD,Cov90_ID,Cov90_OOD,Width90_ID,Width90_OOD,CalibMAE_ID,CalibMAE_OOD,OODUncGap,MeanWeight,MeanDisagreement,MeanWeightID,MeanWeightOOD,MeanDisagreementID,MeanDisagreementOOD,train_s,eval_s
SupervisedOnly,docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,1.014139175415039,3.5397698879241943,1.4042471647262573,9.144744873046875,0.3933897316455841,1.6795644760131836,0.9288330078125,0.5546875,2.435299873352051,3.281608819961548,0.17265239357948303,0.16795460879802704,0.257259726524353,0.0,0.0,0.0,0.0,0.0,0.0,0.7181212089926703,0.007268582994583994
ConfidenceWeightedPseudoLabel,docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,1.0168187618255615,3.481194019317627,25.06247329711914,403.97039794921875,0.35273027420043945,1.8482365608215332,0.91748046875,0.2608642578125,1.5798273086547852,1.3139771223068237,0.14238794147968292,0.23688066005706787,-0.08081269264221191,0.9029483199119568,0.0,0.957394003868103,0.8485026359558105,0.0,0.0,10.586432750002132,0.006615124992094934
SAGE-Reg,docs/research/sage_reg_results/2026-04-09/higgs_public/extracted/FAIR_Universe_HiggsML_data.parquet,1.001932978630066,3.1961448192596436,4.32832145690918,7.902829170227051,0.392650306224823,1.549106240272522,0.9295654296875,0.611572265625,2.453526020050049,4.584540843963623,0.17741313576698303,0.13968826830387115,0.647782564163208,0.23826846480369568,1.412788987159729,0.389446496963501,0.087090402841568,0.6464577317237854,2.1791200637817383,5.5609273339941865,0.006820042006438598
