Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8851114511489868,2.545447587966919,0.4533398449420929,0.715240478515625,1.7152822017669678,0.18475952148437502,0.08719225227832794,0.0,0.0,0.33961570798419416,0.018214792013168335
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8612022995948792,4.543719291687012,0.4559737741947174,0.579345703125,1.2793853282928467,0.320654296875,0.1074671745300293,0.4,0.0,1.2571843329933472,0.011779541993746534
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9015649557113647,3.9650514125823975,0.49214285612106323,0.487335205078125,0.9748467206954956,0.412664794921875,0.138510599732399,0.9711792469024658,0.0,25.915212123974925,0.010739499994087964
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8819071054458618,2.5753660202026367,0.45219776034355164,0.676055908203125,1.4519939422607422,0.22394409179687502,0.08669593930244446,0.26580941677093506,0.9744898080825806,2.460721998999361,0.010681374988052994
