Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s,TabReDSplit,N_train_pool_used,N_test_used
SupervisedOnly,cooking-time,1.0,0.833062469959259,1.2157368659973145,0.4626086950302124,0.859130859375,2.384340763092041,0.04086914062500002,0.03532585874199867,0.0,0.0,1.0214445419842377,0.006648999988101423,default,10240,4096
MeanTeacher,cooking-time,1.0,0.8067429065704346,1.2198426723480225,0.4524490237236023,0.82568359375,2.178410053253174,0.07431640625000002,0.03296155855059624,0.8,0.0,1.2527443339931779,0.0026518749655224383,default,10240,4096
PiModelConsistency,cooking-time,1.0,0.8063957691192627,1.2270419597625732,0.45253312587738037,0.8232421875,2.17081356048584,0.07675781250000002,0.033038653433322906,0.8,0.0,1.4215962919406593,0.005150125012733042,default,10240,4096
ConfidenceWeightedPseudoLabel,cooking-time,1.0,0.8131158947944641,1.6472370624542236,0.47606968879699707,0.66943359375,1.6069921255111694,0.23056640625000002,0.08464226871728897,0.9980323314666748,0.0,1.7215761250117794,0.002421499986667186,default,10240,4096
SAGE-Reg,cooking-time,1.0,0.8121061325073242,1.213758945465088,0.4539204239845276,0.844970703125,2.2833199501037598,0.05502929687500002,0.04104645922780037,0.999506950378418,8.879270899342373e-05,2.0058407920296304,0.0025784169556573033,default,10240,4096
